model_id,prompt_usd_per_token,completion_usd_per_token,context_length,source,snapshot_date
meta-llama/llama-3.1-70b-instruct,0.0000004,0.0000004,131072,openrouter_api,2026-09-24
meta-llama/llama-3.3-70b-instruct,0.0000001,0.00000032,131072,openrouter_api,2026-09-24
qwen/qwen-2.5-72b-instruct,0.00000036,0.0000004,32768,openrouter_api,2026-09-24
nousresearch/hermes-3-llama-3.1-70b,0.0000007,0.0000007,131072,openrouter_api,2026-09-24
mistralai/mixtral-8x22b-instruct,0.000002,0.000006,65536,openrouter_api,2026-09-24
